HAL C WEAVER POWER PLANT,51
ANDERSON MILL MUD WWTP,48
HOLLY STREET POWER PLANT,48
DECKER CREEK POWER PLANT,37
AUSTIN WHITE LIME COMPANY MCNEIL PLANT &,37
SAMSUNG AUSTIN SEMICONDUCTOR,37
3M AUSTIN CENTER,34
AUSTIN COUNTER TOPS,32
WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNI,30
GAS RECOVERY SYSTEMS,29
BFI SUNSET FARMS LANDFILL,27
J J PICKLE RESEARCH CAMPUS,24
THE UNIVERSITY OF TEXAS MAIN CAMPUS,23
CENTEX PLATING,20
US DEPARTMENT OF THE AIR FORCE,20
TEXION INC,19
CAPITOL METAL FINISHING INC,17
BAE SYSTEMS IESI,17
HUNTSMAN PETROCHEMICAL CORP,12
3M COMPANY AUSTIN CENTER,11
COMMEMORATIVE BRANDS,10
HOLLY STREET POWER PLANT,10
DEPOSITION TECHNOLOGY INC,10
ELECTRO PLATE CIRCUITRY INC,9
CAMP MAXEY WWTP,9
TEXAS FLUORESCENCE LABORATORIES,8
PETTY INDUSTRIAL COATERS INC,8
FREESCALE SEMICONDUCTOR ED BLUESTEIN SITE,8
IBM,8
RADIANT PHOTONICS,8
HELIOVOLT,8
NOVATI TECHNOLOGIES,8
AUSTIN ACOUSTIC SYSTEMS INC,8
TYCO PRINTED CIRCUIT GROUP AUSTIN DIVISION,7
CAPITOL AGGREGATES INCORPORATED,7
ADVANCED MICRO DEVICES,7
TWOMEY WELCH AEROCORP INC,7
THOROUGHBRED FARMS WWTP,6
GOFORTH WWTP,6
HARRIS BRANCH WWTP,6
"KOCH PETROLEUM GROUP, L.P.",6
CENTEX MATERIALS LLC SOUTH PLA,6
R & K COATING COMPANY,6
UNKNOWN,6
GAVLON INDUSTRIES INC,5
PENTAGON TECHNOLOGIES GROUP INC,5
TCI COATINGS INC,5
ROBERTS PEST CONTROL INC,5
SUPPORT SYSTEMS OF TEXAS INC,5
RICKS 1.35 CLEANERS,5
SAMSUNG AUSTIN SEMICONDUCTOR,5
ST DAVIDS HEALTHCARE NORTH AUSTIN MEDICAL CENTER,5
SACHEM,5
SOUTHWESTERN MOTOR REBUILDERS,5
FLEXTRONICS AMERICA,5
N P S INDUSTRIES INC,5
COMMUNICATION SPECIALIST,5
CITY OF AUSTIN DECKER CREEK POWER PLANT,5
CARBOMEDICS,5
